a_key	a_name	b_key	b_name	signal	score	verdict	basis_relations
דינ הירדני	דין הירדני	חוק הירדני	חוק הירדני	translated	1.0	DIFFERENT	
האיומ הפיזי	האיום הפיזי	איומ פיזי	איום פיזי	translated	1.0	SAME	מתיישבים אידיאולוגיים --[תופס_כמאיים_יותר]--> האיום הפיזי; מתיישבים אידיאולוגיים --[חשים]--> איום פיזי
ההקדש המוסלמי	ההקדש המוסלמי	וקפ המוסלמי	וקף המוסלמי	translated	1.0	DIFFERENT	
החוק העות'מני	החוק העות'מני	חוק העותמאני	חוק העותמאני	translated	1.0	DIFFERENT	
היועצ המשפטי	היועץ המשפטי	היועצת המשפטית	היועצת המשפטית	translated	1.0	DIFFERENT	
הכיבוש הצבאי הישראלי	הכיבוש הצבאי הישראלי	כיבוש צבאי ישראלי	כיבוש צבאי ישראלי	translated	1.0	SAME	פלסטינים --[חיים_תחת]--> הכיבוש הצבאי הישראלי
המאחזימ הלא-חוקיימ	המאחזים הלא-חוקיים	מאחזימ לא חוקיימ	מאחזים לא חוקיים	translated	1.0	SAME	דו"ח טליה ששון --[concerns]--> המאחזים הלא-חוקיים; המאחזים הלא-חוקיים --[located_in]--> גדה המערבית; משרד החקלאות --[ממן]--> מאחזים לא חוקיים
המנהיגות הישראלית	המנהיגות הישראלית	הנהגה הישראלית	הנהגה הישראלית	translated	1.0	DIFFERENT	
המנהל אזרחי	המנהל אזרחי	קר"ל	קר"ל	translated	1.0	DIFFERENT	
המפקד הצבאי בשטחי הגדה המערבית	המפקד הצבאי בשטחי הגדה המערבית	מפקד הצבאי בגדה	מפקד הצבאי בגדה	translated	1.0	DIFFERENT	
הפליטות	הפליטות	פליטימ	פליטים	translated	1.0	DIFFERENT	
הקצאת קרקע	הקצאת קרקע	הקצאת אדמות	הקצאת אדמות	translated	1.0	DIFFERENT	
הרשויות בישראל	הרשויות בישראל	השלטונות הישראליימ	השלטונות הישראליים	translated	1.0	DIFFERENT	
השמדת עמ	השמדת עם	הג'נוס"ד	הג'נוס"ד	translated	1.0	DIFFERENT	
השמדת עמ	השמדת עם	הג'נוסייד	הג'נוסייד	translated	1.0	DIFFERENT	
התנחלויות חרדיות	התנחלויות חרדיות	יישובימ חרדיימ	יישובים חרדיים	translated	1.0	DIFFERENT	
יישובימ חדשימ	יישובים חדשים	התנחלויות חדשות	התנחלויות חדשות	translated	1.0	DIFFERENT	
כביש המחצבות	כביש המחצבות	ציר המחצבות	ציר המחצבות	translated	1.0	DIFFERENT	
כדס נבות	כדס נבות	כרמ נבות היזרעאלי	כרם נבות היזרעאלי	translated	1.0	DIFFERENT	
מדינת עילית	מדינת עילית	מודיעינ עלית	מודיעין עלית	translated	1.0	DIFFERENT	
נתב"ג	נתב"ג	שדה התעופה בנ גוריונ	שדה התעופה בן גוריון	translated	1.0	SAME	שדה התעופה בן גוריון --[located_in]--> ישראל
ערב א-תעאמרה	ערב א-תעאמרה	ערב אל-תעמרה	ערב אל-תעמרה	translated	1.0	DIFFERENT	
פרימ פלסטיניימ	פרים פלסטיניים	אסירימ פלסטינימ	אסירים פלסטינים	translated	1.0	DIFFERENT	
קהילות עקורות	קהילות עקורות	קהילות שנעקרו	קהילות שנעקרו	translated	1.0	DIFFERENT	
קרקעות וקפ	קרקעות וקף	אדמות וקפ	אדמות וקף	translated	1.0	SAME	אדמות וקף --[transferred_to]--> ייטיב; אדמות וקף --[transferred_to]--> נערן; אדמות וקף --[transferred_to]--> נתיב הגדוד; ייטיב --[located_on]--> אדמות וקף; מתנחלים --[השתלטו_על]--> אדמות וקף; נערן --[located_on]--> אדמות וקף; נתיב הגדוד --[located_on]--> אדמות וקף
קרקעות פרטיות	קרקעות פרטיות	אדמות פרטיות	אדמות פרטיות	translated	1.0	SAME	מתנחלים --[השתלטו_על]--> קרקעות פרטיות; ראס א-תין --[הוקמה_על]--> אדמות פרטיות; שכבות מידע דיגיטליות --[מבחינה_בין]--> אדמות פרטיות
תאיל במילי ברוכ שפיגל	תאיל במילי ברוך שפיגל	תאיל מוטי אלמוז	תאיל מוטי אלמוז	translated	1.0	DIFFERENT	
אדמות הגדה המערבית	אדמות הגדה המערבית	קרקעות בגדה	קרקעות בגדה	translated	1.0	SAME	מדינת ישראל --[משתלטת_על]--> אדמות הגדה המערבית; ישראל --[השתמשה_באמצעים_לשתלטות]--> קרקעות בגדה
אדמות הגדה המערבית	אדמות הגדה המערבית	קרקעות בגדה המערבית	קרקעות בגדה המערבית	translated	1.0	SAME	מדינת ישראל --[משתלטת_על]--> אדמות הגדה המערבית; מדינת ישראל --[השתלטות_על]--> קרקעות בגדה המערבית
אדמות הגדה המערבית	אדמות הגדה המערבית	קרקעות הגדה	קרקעות הגדה	translated	1.0	DIFFERENT	
אדמות וקפ	אדמות וקף	קרקעות הווקפ	קרקעות הווקף	translated	1.0	DIFFERENT	
אזור	אזור	שטח	שטח	translated	1.0	DIFFERENT	
איש מילואימ	איש מילואים	לוחמ מילואימ	לוחם מילואים	translated	1.0	DIFFERENT	
בעלויות קרקע	בעלויות קרקע	בעלות על קרקעות	בעלות על קרקעות	translated	1.0	SAME	המועצות האזוריות --[relates_to]--> בעלויות קרקע; נפות פלסטיניות --[relates_to]--> בעלויות קרקע; תוכנית שרון --[relates_to]--> בעלויות קרקע; דו"ח לוי --[addresses]--> בעלות על קרקעות
בעלי חיימ	בעלי חיים	צאנ	צאן	translated	1.0	DIFFERENT	
דרי צאנ	דרי צאן	רועי צאנ	רועי צאן	translated	1.0	DIFFERENT	
הקמה של התנחלויות חדשות	הקמה של התנחלויות חדשות	הקמת יישובימ חדשימ	הקמת יישובים חדשים	translated	1.0	DIFFERENT	
התנחלויות בבקעת הירדנ	התנחלויות בבקעת הירדן	יישובימ בבקעת הירדנ	יישובים בבקעת הירדן	translated	1.0	DIFFERENT	
חיילי הגמ"ר	חיילי הגמ"ר	חיילי צה"ל	חיילי צה"ל	translated	1.0	DIFFERENT	
כלואימ	כלואים	עצורימ	עצורים	translated	1.0	DIFFERENT	
כלואימ פלסטינימ	כלואים פלסטינים	עצורימ פלסטינימ	עצורים פלסטינים	translated	1.0	DIFFERENT	
כרמי הגפנימ	כרמי הגפנים	כרמימ	כרמים	translated	1.0	DIFFERENT	
מאגר נתונימ	מאגר נתונים	מסד הנתונימ	מסד הנתונים	translated	1.0	DIFFERENT	
מקומות המעצר	מקומות המעצר	מתקני הכלואה	מתקני הכלואה	translated	1.0	DIFFERENT	
מקומות המעצר	מקומות המעצר	מתקני המעצר	מתקני המעצר	translated	1.0	DIFFERENT	
מתקני הכלואה	מתקני הכלואה	מתקני המעצר	מתקני המעצר	translated	1.0	DIFFERENT	
סכסוכי מקרקעינ	סכסוכי מקרקעין	סכסוכי קרקעות	סכסוכי קרקעות	translated	1.0	SAME	בתי המשפט האזרחיים --[מוכרעות_בהם]--> סכסוכי מקרקעין; בתי משפט האזרחיים בישראל --[דנים_ב]--> סכסוכי מקרקעין; הפרקליטות הצבאית --[handles]--> סכסוכי קרקעות; נוהל סכסוכי קרקעות --[מטפל_ב]--> סכסוכי קרקעות
עצורימ מינהליימ	עצורים מינהליים	עצירימ מנהליימ	עצירים מנהליים	translated	1.0	SAME	עצורים מינהליים --[held_in]--> בתי הכלא בישראל; עצורים מינהליים --[residents_of]--> הגדה המערבית; אסירים פלסטינים --[מוגדרים_כ]--> עצירים מנהליים
קרקעות בגדה המערבית	קרקעות בגדה המערבית	קרקעות הגדה	קרקעות הגדה	translated	1.0	DIFFERENT	
ועדת השרימ לענייני ביטחונ לאומי	ועדת השרים לענייני ביטחון לאומי	ועדת שרימ לענייני ביטחונ לאומי	ועדת שרים לענייני ביטחון לאומי	translated	0.997	DIFFERENT	
משרד הבינוי והשיכונ	משרד הבינוי והשיכון	משרד השיכונ והבינוי	משרד השיכון והבינוי	translated	0.997	SAME	משרד הבינוי והשיכון --[established]--> קריית ארבע; משרד השיכון והבינוי --[דיונים_עם]--> אפרת
ועדת השרימ לענייני התיישבות	ועדת השרים לענייני התיישבות	וועדת השרימ לענייני התיישבות	וועדת השרים לענייני התיישבות	translated	0.996	DIFFERENT	
תקנות הגלות לאמנת האג משנת 1907	תקנות הגלות לאמנת האג משנת 1907	תקנות הנלוות לאמנת האג (1907)	תקנות הנלוות לאמנת האג (1907)	translated	0.996	DIFFERENT	
מפקד אזור יהודה והשומרונ	מפקד אזור יהודה והשומרון	מפקד האזור יהודה ושומרונ	מפקד האזור יהודה ושומרון	translated	0.994	SAME	בג"ץ 69/81 --[involves]--> מפקד אזור יהודה והשומרון; בג"ץ 89/81 --[involves]--> מפקד אזור יהודה והשומרון
המועצות האזוריות והמקומיות	המועצות האזוריות והמקומיות	מועצות מקומיות ואזוריות	מועצות מקומיות ואזוריות	translated	0.994	SAME	המועצות האזוריות והמקומיות --[involved_in]--> השתלטות על קרקע; מועצות מקומיות ואזוריות --[מממן]--> מאחזי החוות
סגנ ראש המינהל האזרחי לעניינימ אזרחיימ	סגן ראש המינהל האזרחי לעניינים אזרחיים	סגנ ראש המינהל לעניינימ אזרחיימ	סגן ראש המינהל לעניינים אזרחיים	translated	0.994	DIFFERENT	
תוכנית 410/5	תוכנית 410/5	תוכנית 410/5/5	תוכנית 410/5/5	translated	0.993	DIFFERENT	
61% מכלל שטח הגדה המערבית	61% מכלל שטח הגדה המערבית	כ-61% משטחה הכולל של הגדה המערבית	כ-61% משטחה הכולל של הגדה המערבית	translated	0.993	SAME	שטח C --[מהווה]--> 61% מכלל שטח הגדה המערבית; שטח C --[מקיפים]--> כ-61% משטחה הכולל של הגדה המערבית
המתיישבימ האידיאולוגיימ הלא-ממלכתיימ	המתיישבים האידיאולוגיים הלא-ממלכתיים	מתיישבימ אידיאולוגיימ לא-ממלכתיימ	מתיישבים אידיאולוגיים לא-ממלכתיים	translated	0.991	SAME	המתיישבים האידיאולוגיים הלא-ממלכתיים --[prefer_over]--> משאל עם; המתיישבים האידיאולוגיים הלא-ממלכתיים --[rely_on]--> ההלכה; המתיישבים האידיאולוגיים הלא-ממלכתיים --[rely_on]--> הרבנים
ממשלת ישראל ה-37	ממשלת ישראל ה-37	הממשלה ה-37 של ישראל	הממשלה ה-37 של ישראל	translated	0.991	SAME	ממשלת ישראל ה-37 --[operates_in]--> גדה המערבית; ממשלת ישראל ה-37 --[מובילה_מדיניות_של]--> תמיכה באלימות; הממשלה ה-37 של ישראל --[located_in]--> ישראל
אמנת ז'נבה הרביעית [1949]	אמנת ז'נבה הרביעית [1949]	אמנת ז'נבה הרביעית משנת 1949	אמנת ז'נבה הרביעית משנת 1949	translated	0.99	SAME	ישראל --[violated]--> אמנת ז'נבה הרביעית [1949]
מאחזי החוות	מאחזי החוות	מאחזי-חוות	מאחזי-חוות	translated	0.989	SAME	מאחזי החוות --[located_in]--> גדה המערבית; מאחזי החוות --[הוקמו_ב]--> 2019; מתנחלים --[control]--> מאחזי החוות; מתנחלים --[התרחבות_של]--> מאחזי החוות; מתנחלים --[מתגוררים_ב]--> מאחזי-חוות
עבד אל-כרימ סעדי	עבד אל-כרים סעדי	עבד אל-כרימ א-סעדי	עבד אל-כרים א-סעדי	translated	0.989	DIFFERENT	
חוק ההפקעה	חוק ההפקעה	דיני ההפקעות	דיני ההפקעות	translated	0.987	DIFFERENT	
אמנת האג בדבר דיני המלחמה ביבשה	אמנת האג בדבר דיני המלחמה ביבשה	אמנה בדבר הדינימ והמנהגימ של מלחמה ביבשה לרבות תקנות בקשר לדיני ומנהגי המלחמה ביבשה	אמנה בדבר הדינים והמנהגים של מלחמה ביבשה לרבות תקנות בקשר לדיני ומנהגי המלחמה ביבשה	translated	0.987	SAME	אמנת האג בדבר דיני המלחמה ביבשה --[adopted_in]--> 1907
האגפ האזרחי לאזור יהודה ושומרונ	האגף האזרחי לאזור יהודה ושומרון	המנהל האזרחי באזור יהודה ושומרונ	המנהל האזרחי באזור יהודה ושומרון	translated	0.986	DIFFERENT	
הקרנ ההומניטרית לעזה	הקרן ההומניטרית לעזה	קרנ הסיוע ההומניטרי לעזה	קרן הסיוע ההומניטרי לעזה	translated	0.985	DIFFERENT	
נריה בנ פזי	נריה בן פזי	נריה בנ-פזי	נריה בן-פזי	translated	0.984	SAME	ארה"ב --[imposed_sanctions_on]--> נריה בן פזי; האיחוד האירופי --[imposed_sanctions_on]--> נריה בן פזי; נריה בן פזי --[established]--> חוות אברהם; נריה בן פזי --[established]--> חוות רימונים; נריה בן פזי --[established_in]--> 2019; נריה בן פזי --[established_outpost]--> רימונים; נריה בן פזי --[located_east_of]--> רמאללה; נריה בן פזי --[located_near]--> רימונים; נריה בן פזי --[located_south_of]--> רימונים; נריה בן פזי --[settler_in]--> אל-מוערא'את; נריה בן פזי --[היה_ב]--> ואדי א-סיק; נריה בן פזי --[הקים]--> חוות רימונים
אזרחי ישראל הפלסטינימ	אזרחי ישראל הפלסטינים	פלסטינימ אזרחי ישראל	פלסטינים אזרחי ישראל	translated	0.984	DIFFERENT	
החלטת ממשלה 150	החלטת ממשלה 150	החלטת ממשלה מספר 150	החלטת ממשלה מספר 150	translated	0.984	SAME	החלטת ממשלה 150 --[תוקנה_ב]--> 18 ביוני 2023; הממשלה --[החליטה_לתקן]--> החלטת ממשלה מספר 150
האגודה לזכויות האזרח בישראל	האגודה לזכויות האזרח בישראל	the association for civil rights in israel	The Association for Civil Rights in Israel	translated	0.984	SAME	האגודה לזכויות האזרח בישראל --[filed_petition_against]--> בג"ץ; הפלטפורמה --[includes]--> האגודה לזכויות האזרח בישראל; בג"ץ 2858/24 --[filed_by]--> האגודה לזכויות האזרח בישראל; האגודה לזכויות האזרח בישראל --[filed_freedom_of_information_requests_about]--> רצועת עזה; האגודה לזכויות האזרח בישראל --[filed_petition]--> בג"ץ; האגודה לזכויות האזרח בישראל --[filed_petition_against]--> המדינה; האגודה לזכויות האזרח בישראל --[filed_petition_against]--> המינוי; האגודה לזכויות האזרח בישראל --[filed_petition_against]--> מפקד מחוז ירושלים; האגודה לזכויות האזרח בישראל --[member_of]--> הפלטפורמה; האגודה לזכויות האזרח בישראל --[member_of]--> הפלטפורמה – ארגונים ישראלים למען זכויות אדם; האגודה לזכויות האזרח בישראל --[published]--> ההפיכה השקטה; ההפיכה השקטה --[published_by]--> האגודה לזכויות האזרח בישראל
האגודה לזכויות האזרח	האגודה לזכויות האזרח	the association for civil rights in israel	The Association for Civil Rights in Israel	translated	0.984	SAME	האגודה לזכויות האזרח --[filed_petition_against]--> בג"ץ; אוקטובר 2023 --[תאריך_עתירה]--> האגודה לזכויות האזרח; בג"ץ 946/24 --[filed_by]--> האגודה לזכויות האזרח; האגודה לזכויות האזרח --[filed_petition]--> הוועד נגד עינויים; האגודה לזכויות האזרח --[filed_petition_about]--> מחסומי הקבע; האגודה לזכויות האזרח --[filed_petition_against]--> המינהל האזרחי; האגודה לזכויות האזרח --[filed_petition_against]--> חוק מניעת פגיעת גוף שידורים זר בביטחון המדינה (הוראת שעה – חרבות ברזל), התשפ"ד-2024; האגודה לזכויות האזרח --[filed_petition_against]--> פרקליט המדינה; האגודה לזכויות האזרח --[filed_petition_against]--> תיקון 37 לפקודת המשטרה; האגודה לזכויות האזרח --[filed_petition_at]--> בית המשפט העליון; האגודה לזכויות האזרח --[filed_petition_for]--> חזרת תושבי מחנות הפליטים; האגודה לזכויות האזרח --[filed_petition_regarding]--> שדה תימן
צו בדבר סילוק פולשימ	צו בדבר סילוק פולשים	צו לסילוק פולשימ	צו לסילוק פולשים	translated	0.983	DIFFERENT	
הקצאת קרקע	הקצאת קרקע	הקצאות הקרקע	הקצאות הקרקע	translated	0.983	SAME	הקצאות הקרקע --[located_in]--> גדה המערבית; המינהל האזרחי --[אמון_על_הרגולציה_של]--> הקצאות הקרקע
הקצאות הקרקע	הקצאות הקרקע	הקצאת אדמות	הקצאת אדמות	translated	0.983	DIFFERENT	
מועצת מנהל מקרקעי ישראל	מועצת מנהל מקרקעי ישראל	מועצת רשות מקרקעי ישראל	מועצת רשות מקרקעי ישראל	translated	0.982	DIFFERENT	
משרד הבריאות בעזה	משרד הבריאות בעזה	משרד הבריאות העזתי	משרד הבריאות העזתי	translated	0.98	SAME	משרד הבריאות בעזה --[reported_deaths_in]--> רצועת עזה; משרד הבריאות העזתי --[located_in]--> רצועת עזה
החלטות ממשלה מס' 360	החלטות ממשלה מס' 360	החלטת ממשלה מס' 360	החלטת ממשלה מס' 360	translated	0.98	DIFFERENT	
התנחלויות בבקעת הירדנ	התנחלויות בבקעת הירדן	התנחלויות רבות בבקעת הירדנ	התנחלויות רבות בבקעת הירדן	translated	0.98	DIFFERENT	
אזור הר חברונ	אזור הר חברון	הרי חברונ	הרי חברון	translated	0.98	DIFFERENT	
התנחלויות רבות בבקעת הירדנ	התנחלויות רבות בבקעת הירדן	יישובימ בבקעת הירדנ	יישובים בבקעת הירדן	translated	0.98	DIFFERENT	
שומר החומות	שומר החומות	"שומר החומות"	"שומר החומות"	translated	0.979	SAME	שומר החומות --[located_in]--> רצועת עזה; שומר החומות --[occurred_in]--> 2021; שומר החומות --[located_in]--> עזה; שומר החומות --[occurred_in]--> מאי 2021
מגילת האו"מ	מגילת האו"ם	אמנת האומות המאוחדות	אמנת האומות המאוחדות	translated	0.979	SAME	בית הדין הבינלאומי לצדק --[מוסמך_על_ידי]--> מגילת האו"ם
40 אחוזימ	40 אחוזים	40%	40%	translated	0.979	DIFFERENT	
עדי עד	עדי עד	עדי-עד	עדי-עד	translated	0.978	SAME	עדי עד --[established_in]--> 1997; 2001 --[marked_beginning_of_access_problems_around]--> עדי עד; 64 אירועי אלימות מילולית ופיזית --[occurred_around]--> עדי עד; בועז מלט --[מתנחל_ב]--> עדי עד; הממשלה --[decided_on_establishment]--> עדי עד; מתנחלים --[controlled_agricultural_land_around]--> עדי עד; פלסטינים --[had_access_problems_to_land_around]--> עדי עד; מעייר --[adjacent_to]--> עדי עד; מעייר --[located_south_of]--> עדי עד; מתנחלים --[cultivate_around]--> עדי עד; עדי עד --[breached_road_in]--> 2003; עדי עד --[located_east_of]--> שבות רחל; עדי-עד --[located_in]--> עמק שילה; עדי-עד --[located_outside]--> שילה; צוות קו כחול --[operates_in]--> עדי-עד
פתרונ שתי המדינות	פתרון שתי המדינות	"פתרונ שתי המדינות"	"פתרון שתי המדינות"	translated	0.978	SAME	אנאפוליס 2007 --[guided]--> פתרון שתי המדינות; מתיישבים אידיאולוגיים --[oppose]--> פתרון שתי המדינות; ממשלת ישראל --[should_adopt]--> פתרון שתי המדינות; ממשלת ישראל --[מסרבת_לחדש_משא_ומתן_על]--> פתרון שתי המדינות; מערך ההתנחלויות --[made_impossible]--> פתרון שתי המדינות; מתיישבי איכות חיים --[support]--> פתרון שתי המדינות; פתרון שתי המדינות --[located_in]--> אנאפוליס; פתרון שתי המדינות --[produced]--> טרור ואלימות; "פתרון שתי המדינות" --[contradicts]--> "העם הפלשתיני"; אורי אבנרי --[promoted]--> "פתרון שתי המדינות"; השמאל --[promoted]--> "פתרון שתי המדינות"; רבין --[opposed]--> "פתרון שתי המדינות"; תוכנית ההכרעה --[alternative_to]--> "פתרון שתי המדינות"
עדי-עד	עדי-עד	מאחז עדי עד	מאחז עדי עד	translated	0.978	DIFFERENT	
תקנה 43 לתקנות האג	תקנה 43 לתקנות האג	תקנה 43 באמנת האג	תקנה 43 באמנת האג	translated	0.977	DIFFERENT	
צו הפינוי	צו הפינוי	צווי הפינוי	צווי הפינוי	translated	0.977	DIFFERENT	
עמוד עננ	עמוד ענן	"עמוד עננ"	"עמוד ענן"	translated	0.976	DIFFERENT	
הווקפ המוסלמי	הווקף המוסלמי	הווקפ האסלאמי	הווקף האסלאמי	translated	0.976	DIFFERENT	
new israeli fund	New Israeli Fund	הקרנ החדשה לישראל	הקרן החדשה לישראל	translated	0.976	SAME	יש דין --[supported_by]--> New Israeli Fund; יש דין --[supported_by]--> הקרן החדשה לישראל
new israeli fund	New Israeli Fund	קרנ החדשה לישראל	קרן החדשה לישראל	translated	0.976	DIFFERENT	
ההקדש המוסלמי	ההקדש המוסלמי	הווקפ האסלאמי	הווקף האסלאמי	translated	0.976	DIFFERENT	
הווקפ האסלאמי	הווקף האסלאמי	וקפ המוסלמי	וקף המוסלמי	translated	0.976	DIFFERENT	
הצעות חוק פרטיות	הצעות חוק פרטיות	הצעת חוק פרטית	הצעת חוק פרטית	translated	0.975	DIFFERENT	
ממשלת ישראל	ממשלת ישראל	הממשלה הישראלית	הממשלה הישראלית	translated	0.975	SAME	ממשלת ישראל --[located_in]--> ישראל; איתמר בן גביר --[שר_ב]--> ממשלת ישראל; אריאל שרון --[was_prime_minister_of]--> ממשלת ישראל; בצלאל סמוטריץ' --[שר_ב]--> ממשלת ישראל
תחנה להתפלת המימ	תחנה להתפלת המים	תחנת ההתפלה	תחנת ההתפלה	translated	0.975	DIFFERENT	
תוכנית יוש 237	תוכנית יוש 237	תוכנית יוש 237/3	תוכנית יוש 237/3	translated	0.974	DIFFERENT	
גוש ההתנחלויות	גוש ההתנחלויות	גושי ההתיישבות	גושי ההתיישבות	translated	0.974	DIFFERENT	
השדולה למענ ארצ ישראל	השדולה למען ארץ ישראל	שדולת ארצ ישראל	שדולת ארץ ישראל	translated	0.974	DIFFERENT	
new israel fund	New Israel Fund	new israeli fund	New Israeli Fund	translated	0.973	DIFFERENT	
שיבת ציונ לרגבי אדמתה	שיבת ציון לרגבי אדמתה	שיבת ציונ לרגבי אדמתה (ארצנו)	שיבת ציון לרגבי אדמתה (ארצנו)	translated	0.973	DIFFERENT	
במקומ - תכנונ לזכויות אדמ	במקום – תכנון לזכויות אדם	במקומ - מתכננימ למענ זכויות תכנונ ואח'	במקום – מתכננים למען זכויות תכנון ואח'	translated	0.973	DIFFERENT	
בית משפט אזרחי	בית משפט אזרחי	בתי המשפט האזרחיימ	בתי המשפט האזרחיים	translated	0.973	DIFFERENT	
אמנות ז'נבה	אמנות ז'נבה	אמנת ז'נבה	אמנת ז'נבה	translated	0.972	DIFFERENT	
וואדי א-סומסומ	וואדי א-סומסום	וואדי סומסומ	וואדי סומסום	translated	0.972	SAME	חוות מור --[located_in]--> וואדי א-סומסום
אמנות זינבה	אמנות זינבה	אמנת ז'נבה	אמנת ז'נבה	translated	0.972	SAME	אמנת ז'נבה --[applies_to]--> גדה המערבית
המועצות האזוריות	המועצות האזוריות	המועצה האזורית	המועצה האזורית	translated	0.971	DIFFERENT	
מדינות ערב	מדינות ערב	מדינה ערבית	מדינה ערבית	translated	0.971	DIFFERENT	
מדינה ערבית	מדינה ערבית	מדינות ערביות	מדינות ערביות	translated	0.971	DIFFERENT	
הכרזה על "אדמות מדינה"	הכרזה על "אדמות מדינה"	הכרזות על אדמות מדינה	הכרזות על אדמות מדינה	translated	0.971	DIFFERENT	
התקפות פלסטיניות	התקפות פלסטיניות	תקיפות של פלסטינימ	תקיפות של פלסטינים	translated	0.971	SAME	התקפות פלסטיניות --[כנגד]--> אזרחים ישראלים; התקפות פלסטיניות --[כנגד]--> אנשי כוחות הביטחון; מערכת אכיפת החוק הישראלית --[נמנעת_מטיפול]--> תקיפות של פלסטינים
בקעה	בקעה	הבקעה	הבקעה	translated	0.97	SAME	בקעה --[located_in]--> ישראל; ח'ירבת אל-מזוקח --[located_in]--> בקעה; יישובים --[built_in]--> בקעה; ישראל --[controls]--> בקעה; ישראל --[prevents_use]--> בקעה; המלח --[located_in]--> הבקעה; חמרה --[located_in]--> הבקעה; יפיה --[located_in]--> הבקעה; מחולה --[located_in]--> הבקעה; מכורה --[located_in]--> הבקעה; משכיות --[located_in]--> הבקעה; רועי --[located_in]--> הבקעה; רחם --[located_in]--> הבקעה; שדמות מחולה --[located_in]--> הבקעה
שבתאי קושילבסקי	שבתאי קושילבסקי	שבתאי קושלבסקי	שבתאי קושלבסקי	translated	0.97	DIFFERENT	
שבתאי קושילבסקי	שבתאי קושילבסקי	שבתי קושלבסקי	שבתי קושלבסקי	translated	0.97	DIFFERENT	
מתנחלי שילה	מתנחלי שילה	מתנחלימ מאזור שילה	מתנחלים מאזור שילה	translated	0.97	DIFFERENT	
חפירות הצלה	חפירות הצלה	חפירות הצלה ארכיאולוגיות	חפירות הצלה ארכיאולוגיות	translated	0.969	DIFFERENT	
כוכב השחר צפונ	כוכב השחר צפון	כוכב השחר צפונ מזרח	כוכב השחר צפון מזרח	translated	0.969	DIFFERENT	
עבד אל רחמנ קאסמ	עבד אל רחמן קאסם	עבד אל רחמנ קאסמ עבד אל רחמנ	עבד אל רחמן קאסם עבד אל רחמן	translated	0.969	DIFFERENT	
זכות החשיבה, אסופת מאמרימ ראשונה על הסכסוכ הישראלי-פלסטיני	זכות החשיבה, אסופת מאמרים ראשונה על הסכסוך הישראלי-פלסטיני	זכות החשיבה, אסופת מאמרימ שנייה על הסכסוכ הישראלי-פלסטיני	זכות החשיבה, אסופת מאמרים שנייה על הסכסוך הישראלי-פלסטיני	translated	0.969	DIFFERENT	
תושבי ואדי א-סיק	תושבי ואדי א-סיק	תושבי קהילת ואדי א-סיק	תושבי קהילת ואדי א-סיק	translated	0.969	SAME	תושבי ואדי א-סיק --[expelled_from]--> ואדי א-סיק; תושבי קהילת ואדי א-סיק --[expelled_from]--> ואדי א-סיק
ארכיאולוגיה בגדה המערבית	ארכיאולוגיה בגדה המערבית	חפירות בגדה המערבית	חפירות בגדה המערבית	translated	0.969	DIFFERENT	
גנימ ארכיאולוגיימ	גנים ארכיאולוגיים	הגנ הארכיאולוגי	הגן הארכיאולוגי	translated	0.968	DIFFERENT	
ההפיכה השקטה	ההפיכה השקטה	הפיכה השקטה	הפיכה השקטה	translated	0.967	DIFFERENT	
3,000 דונמימ	3,000 דונמים	3,500 דונמימ	3,500 דונמים	translated	0.967	DIFFERENT	
יחידות ההגמ"ר	יחידות ההגמ"ר	יחידת ההגמ"ר	יחידת ההגמ"ר	translated	0.967	DIFFERENT	
3,000 דונמ	3,000 דונם	3,500 דונמימ	3,500 דונמים	translated	0.967	DIFFERENT	
מוחמד עבד אל-חפיז רג'בי	מוחמד עבד אל-חפיז רג'בי	מוחמד עבד אל-חפיו רג'בי	מוחמד עבד אל-חפיו רג'בי	translated	0.966	DIFFERENT	
בשליחות המדינה - השתלטות המדינה על קרקעות בגדה המערבית באמצעות אלימות מתנחלימ	בשליחות המדינה - השתלטות המדינה על קרקעות בגדה המערבית באמצעות אלימות מתנחלים	השתלטות המדינה על קרקעות בגדה המערבית באמצעות אלימות של מתנחלימ	השתלטות המדינה על קרקעות בגדה המערבית באמצעות אלימות של מתנחלים	translated	0.966	SAME	בצלם --[published_report_on]--> בשליחות המדינה - השתלטות המדינה על קרקעות בגדה המערבית באמצעות אלימות מתנחלים; בצלם --[פרסם]--> בשליחות המדינה - השתלטות המדינה על קרקעות בגדה המערבית באמצעות אלימות מתנחלים; בצלם --[documents]--> השתלטות המדינה על קרקעות בגדה המערבית באמצעות אלימות של מתנחלים
תושבי החווה	תושבי החווה	תושבי החוות	תושבי החוות	translated	0.966	DIFFERENT	
צו צבאי	צו צבאי	צווימ צבאיימ	צווים צבאיים	translated	0.966	DIFFERENT	
הצו הצבאי	הצו הצבאי	צווימ צבאיימ	צווים צבאיים	translated	0.966	DIFFERENT	
האמנה נגד רצח עמ	האמנה נגד רצח עם	רצח עמ	רצח עם	translated	0.965	DIFFERENT	
הקמת יישוב חדש	הקמת יישוב חדש	הקמת יישובימ חדשימ	הקמת יישובים חדשים	translated	0.965	DIFFERENT	
המועצות המקומיות	המועצות המקומיות	המועצה המקומית	המועצה המקומית	translated	0.965	DIFFERENT	
המועצות המקומיות	המועצות המקומיות	מועצה מקומית	מועצה מקומית	translated	0.965	DIFFERENT	
